loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000074,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260220_133421,REESTRUCTURAR,"[step 1] EVA=-730,685,296€, RWA=6,106,588,854, EVA/RWA=-0.1197, RORWA_est≈-1.97% (hurdle=10.00%), HHI_seg=0.790, HHI_rat=0.194, EVA_vol≈9,363,356, n_active=500. Cartera claramente destructiva -> ba...",,1.01,-23798495
L000418,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260220_133421,REESTRUCTURAR,"[step 0] EVA=-711,958,585€, RWA=6,106,588,854, EVA/RWA=-0.1166, RORWA_est≈-1.66% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=500. Cartera claramente destructiva -> baseline (...",,0.81,-23738214
L000426,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260220_133421,REESTRUCTURAR,"[step 0] EVA=-711,958,585€, RWA=6,106,588,854, EVA/RWA=-0.1166, RORWA_est≈-1.66% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=500. Cartera claramente destructiva -> baseline (...",,1.07,-23487327
L000468,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260220_133421,REESTRUCTURAR,"[step 1] EVA=-730,685,296€, RWA=6,106,588,854, EVA/RWA=-0.1197, RORWA_est≈-1.97% (hurdle=10.00%), HHI_seg=0.790, HHI_rat=0.194, EVA_vol≈9,363,356, n_active=500. Cartera claramente destructiva -> ba...",,1.05,-31438125
