loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000100,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151528,,,0.35,,-312153
L000103,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151528,,,0.31,,-217636
L000131,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151528,,,0.36,,-217143
L000161,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151528,,,0.30,,-189266
L000173,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151528,,,0.36,,-494877
L000177,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151528,,,0.42,,-251966
