loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000074,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260222_133036,REESTRUCTURAR,"[step 1] EVA=-1,139,993,060€, RWA=6,115,239,993, EVA/RWA=-0.1864, RORWA_est≈-8.64% (hurdle=10.00%), HHI_seg=0.790, HHI_rat=0.194, EVA_vol≈18,790,122, n_active=500. Cartera claramente destructiva ->...",,1.01,-26674368
L000418,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260222_133036,REESTRUCTURAR,"[step 0] EVA=-1,102,412,816€, RWA=6,115,239,993, EVA/RWA=-0.1803, RORWA_est≈-8.03% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=500. Cartera claramente destructiva -> baseline...",,0.81,-27519500
L000426,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260222_133036,REESTRUCTURAR,"[step 0] EVA=-1,102,412,816€, RWA=6,115,239,993, EVA/RWA=-0.1803, RORWA_est≈-8.03% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=500. Cartera claramente destructiva -> baseline...",,1.07,-27138787
L000468,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260222_133036,REESTRUCTURAR,"[step 1] EVA=-1,139,993,060€, RWA=6,115,239,993, EVA/RWA=-0.1864, RORWA_est≈-8.64% (hurdle=10.00%), HHI_seg=0.790, HHI_rat=0.194, EVA_vol≈18,790,122, n_active=500. Cartera claramente destructiva ->...",,1.05,-35389468
