loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000100,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260221_123529,,,0.35,,-274456
L000103,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260221_123529,,,0.31,,-186958
L000131,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260221_123529,,,0.36,,-184221
L000161,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260221_123529,,,0.30,,-162344
L000173,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260221_123529,,,0.36,,-418459
L000177,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260221_123529,,,0.42,,-209282
