scenario,posture,total_ead,total_eva,total_rwa,n_sales,n_restruct
baseline,prudencial,1493990320,0,0,24,0
mild,prudencial,1493990320,0,0,6,0
severe,prudencial,1493990320,0,0,0,0
pricing_crunch,prudencial,1493990320,0,0,24,0
