tag,posture,scenario,EVA_stressed,RWA_stressed,EL_stressed
infer_ci0222,prudencial,baseline,-1068025386.0078752,5374894423.0,688448932.039875
infer_ci0222,prudencial,mild,-1352199891.64045,5912383865.300001,918874493.44245
infer_ci0222,prudencial,severe,-1894381368.8325624,6718618028.75,1380432554.2895627
infer_ci0222,prudencial,pricing_crunch,-1068025386.0078752,5374894423.0,688448932.039875
infer_ci0222,balanceado,baseline,-656368039.4102874,3221136088.5,428974091.50828743
infer_ci0222,balanceado,mild,-829870819.686345,3543249697.3500004,570265510.8993449
infer_ci0222,balanceado,severe,-1159495741.462181,4026420110.625,851573391.347681
infer_ci0222,balanceado,pricing_crunch,-656368039.4102874,3221136088.5,428974091.50828743
