posture,segment,rating,pct_MANTENER,pct_REESTRUCTURAR,pct_VENDER,n_loans,total_EAD,mean_EAD,total_RWA,total_EL,mean_PD,mean_LGD,mean_DPD,total_EVA_post,total_capital_lib
prudencial,Corporate,A,88.23529411764706,0.0,11.76470588235294,17,148303813.0,8723753.705882354,222455719.5,24178645.304,0.3905882352941176,0.4,183.0,29436773.83673581,10265831.461610667
prudencial,Corporate,AA,71.42857142857143,0.0,28.57142857142857,7,35324815.0,5046402.142857143,52987222.5,5731403.58,0.41000000000000003,0.39999999999999997,310.7142857142857,7010872.935347475,2445241.2238556296
prudencial,Corporate,AAA,66.66666666666666,16.666666666666664,16.666666666666664,6,42448067.0,7074677.833333333,63672100.5,6351966.92,0.3833333333333333,0.39999999999999997,261.5,8425218.956783392,2938324.3281354983
prudencial,Corporate,B,90.0,5.0,5.0,20,93312065.0,4665603.25,139968097.5,19198522.873649787,0.45,0.46374302973041026,217.45,18218813.85359955,6494064.859879566
prudencial,Corporate,BB,75.67567567567568,8.108108108108109,16.216216216216218,37,273070201.0,7380275.702702703,409605301.5,46344185.7213102,0.4289189189189189,0.40021673018101955,187.13513513513513,54200187.60052328,18902364.03196288
prudencial,Corporate,BBB,76.92307692307693,0.0,23.076923076923077,39,226770552.0,5814629.538461538,340155828.0,37412865.91200001,0.4117948717948718,0.4000000000000001,190.6153846153846,44333291.300515406,15699164.033953212
prudencial,Corporate,CCC,87.5,12.5,0.0,16,90738466.0,5671154.125,136107699.0,25758473.33021408,0.46875,0.5835943799028367,201.9375,17539563.36191914,6323031.626847454
prudencial,Large Corporate,A,53.84615384615385,30.76923076923077,15.384615384615385,13,343141210.0,26395477.692307692,514711815.0,55336242.8,0.40846153846153843,0.4000000000000001,261.2307692307692,63325535.66658977,23767683.772841323
prudencial,Large Corporate,AA,66.66666666666666,33.33333333333333,0.0,3,57224298.0,19074766.0,85836447.0,8717023.092,0.37666666666666665,0.4000000000000001,190.33333333333334,11359321.513862383,3961159.102342058
prudencial,Large Corporate,AAA,50.0,0.0,50.0,2,49857261.0,24928630.5,74785891.5,7977161.760000002,0.4,0.4,227.0,9228187.253604759,3452922.0216246415
prudencial,Large Corporate,B,70.83333333333334,25.0,4.166666666666666,24,516492206.0,21520508.583333332,774738309.0,105968724.30374612,0.44875,0.4577289889241332,180.875,100001638.53587984,35808310.11792027
prudencial,Large Corporate,BB,57.14285714285714,32.142857142857146,10.714285714285714,28,675216878.0,24114888.5,1012825317.0,116122921.99200001,0.4367857142857143,0.4000000000000001,209.32142857142858,125505364.76830989,46845529.843586706
prudencial,Large Corporate,BBB,53.57142857142857,25.0,21.428571428571427,28,607908326.0,21711011.64285714,911862489.0,99008763.41600001,0.4060714285714285,0.4000000000000001,198.28571428571428,111383468.80115122,42210091.97121132
prudencial,Large Corporate,CCC,42.10526315789473,57.89473684210527,0.0,19,449743244.0,23670697.05263158,674614866.0,125652720.22418965,0.4736842105263157,0.581964184854642,199.3684210526316,89277523.32037707,31131959.79594971
prudencial,MidCap,A,71.42857142857143,0.0,28.57142857142857,7,18833583.0,2690511.8571428573,28250374.5,3186935.164,0.4057142857142857,0.39999999999999997,306.42857142857144,3737061.260598825,1303691.2873997102
prudencial,MidCap,AA,100.0,0.0,0.0,6,12237407.0,2039567.8333333333,18356110.5,1868604.428,0.38499999999999995,0.39999999999999997,244.66666666666666,2427849.4813032066,847093.2422292785
prudencial,MidCap,AAA,100.0,0.0,0.0,4,10490774.0,2622693.5,15736161.0,1629193.6,0.375,0.4,233.25,1920933.4568766686,726601.9222680235
prudencial,MidCap,B,100.0,0.0,0.0,25,42021154.0,1680846.16,63031731.0,8962316.057823496,0.44799999999999995,0.4794701061331038,170.48,8335718.905072255,2908772.7150102807
prudencial,MidCap,BB,95.23809523809523,0.0,4.761904761904762,21,36493179.0,1737770.4285714286,54739768.5,6284862.836000001,0.4290476190476191,0.4000000000000001,210.0952380952381,7239314.594015308,2526117.282718751
prudencial,MidCap,BBB,76.92307692307693,0.0,23.076923076923077,26,62520279.0,2404626.1153846155,93780418.5,10234168.244,0.41884615384615387,0.4000000000000001,232.96153846153845,12404920.765819244,4327755.532131037
prudencial,MidCap,CCC,100.0,0.0,0.0,7,14188422.0,2026917.4285714286,21282633.0,3951274.9258971373,0.47857142857142854,0.5837468399538975,219.57142857142858,2814911.7017344763,982145.6779281123
prudencial,Mortgage,A,100.0,0.0,0.0,5,2429647.0,485929.4,2429647.0,396581.836,0.42000000000000004,0.4,285.4,-45410.141,218038.80000000005
prudencial,Mortgage,AA,100.0,0.0,0.0,4,1234064.0,308516.0,1234064.0,199359.776,0.41000000000000003,0.4,301.5,-61647.46799999999,82456.71000000002
prudencial,Mortgage,AAA,100.0,0.0,0.0,1,417780.0,417780.0,417780.0,58489.2,0.35,0.4,172.0,0.0,43866.9
prudencial,Mortgage,B,100.0,0.0,0.0,11,3292562.0,299323.8181818182,3292562.0,658080.395070902,0.4345454545454545,0.46523233608260006,152.63636363636363,-209616.41386776412,174647.55
prudencial,Mortgage,BB,100.0,0.0,0.0,8,5233037.0,654129.625,5233037.0,925151.108,0.43499999999999994,0.4,222.875,-63516.81000000001,499324.03500000003
prudencial,Mortgage,BBB,92.3076923076923,0.0,7.6923076923076925,13,3810503.0,293115.6153846154,3810503.0,670525.7679999999,0.4323076923076922,0.4000000000000001,273.2307692307692,-321232.515,143708.03999999998
