loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000027,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260220_151507,REESTRUCTURAR,"[step 0] EVA=-308,698,277€, RWA=2,238,053,454, EVA/RWA=-0.1379, RORWA_est≈-3.79% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=200. Cartera claramente destructiva -> baseline (...",,0.77,-13312458
L000056,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260220_151507,REESTRUCTURAR,"[step 1] EVA=-317,777,519€, RWA=2,238,053,454, EVA/RWA=-0.1420, RORWA_est≈-4.20% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈4,539,621, n_active=200. Cartera claramente destructiva -> ba...",,0.74,-7302538
L000058,MACRO_PRUDENTIAL,VENDER,REESTRUCTURAR,desinversion,desinversion,20260220_151507,REESTRUCTURAR,"[step 1] EVA=-317,777,519€, RWA=2,238,053,454, EVA/RWA=-0.1420, RORWA_est≈-4.20% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈4,539,621, n_active=200. Cartera claramente destructiva -> ba...",,1.32,-16483325
L000088,MACRO_PRUDENTIAL,VENDER,REESTRUCTURAR,desinversion,desinversion,20260220_151507,REESTRUCTURAR,"[step 0] EVA=-308,698,277€, RWA=2,238,053,454, EVA/RWA=-0.1379, RORWA_est≈-3.79% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=200. Cartera claramente destructiva -> baseline (...",,1.23,-17902699
