loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000027,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260220_134856,REESTRUCTURAR,"[step 0] EVA=-261,505,995€, RWA=2,238,053,454, EVA/RWA=-0.1168, RORWA_est≈-1.68% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=200. Cartera claramente destructiva -> baseline (...",,0.77,-12653241
L000056,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260220_134856,REESTRUCTURAR,"[step 1] EVA=-268,296,515€, RWA=2,238,053,454, EVA/RWA=-0.1199, RORWA_est≈-1.99% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈3,395,260, n_active=200. Cartera claramente destructiva -> ba...",,0.74,-6782954
L000058,MACRO_PRUDENTIAL,VENDER,REESTRUCTURAR,desinversion,desinversion,20260220_134856,REESTRUCTURAR,"[step 1] EVA=-268,296,515€, RWA=2,238,053,454, EVA/RWA=-0.1199, RORWA_est≈-1.99% (hurdle=10.00%), HHI_seg=0.784, HHI_rat=0.198, EVA_vol≈3,395,260, n_active=200. Cartera claramente destructiva -> ba...",,1.32,-15743242
L000088,MACRO_PRUDENTIAL,VENDER,REESTRUCTURAR,desinversion,desinversion,20260220_134857,REESTRUCTURAR,"[step 0] EVA=-261,505,995€, RWA=2,238,053,454, EVA/RWA=-0.1168, RORWA_est≈-1.68% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=200. Cartera claramente destructiva -> baseline (...",,1.23,-17165165
