loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000100,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151431,,,0.35,,-288076
L000103,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151431,,,0.31,,-198013
L000131,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151431,,,0.36,,-196146
L000161,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151431,,,0.30,,-171979
L000173,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151431,,,0.36,,-445903
L000177,GUARDRAIL_FIRE_SALE,VENDER,MANTENER,prudencial,prudencial,20260220_151431,,,0.42,,-224743
