loan_id,level,from_action,to_action,portfolio_context,posture,run_id,macro_action_used,macro_rationales_short,pti_actual,dscr_actual,pnl
L000074,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260222_132837,REESTRUCTURAR,"[step 1] EVA=-866,548,483€, RWA=6,106,588,854, EVA/RWA=-0.1419, RORWA_est≈-4.19% (hurdle=10.00%), HHI_seg=0.790, HHI_rat=0.194, EVA_vol≈12,501,379, n_active=500. Cartera claramente destructiva -> b...",,1.01,-24837413
L000418,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260222_132838,REESTRUCTURAR,"[step 0] EVA=-841,545,725€, RWA=6,106,588,854, EVA/RWA=-0.1378, RORWA_est≈-3.78% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=500. Cartera claramente destructiva -> baseline (...",,0.81,-25107896
L000426,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260222_132838,REESTRUCTURAR,"[step 0] EVA=-841,545,725€, RWA=6,106,588,854, EVA/RWA=-0.1378, RORWA_est≈-3.78% (hurdle=10.00%), HHI_seg=0.000, HHI_rat=0.000, EVA_vol≈0, n_active=500. Cartera claramente destructiva -> baseline (...",,1.07,-24805471
L000468,GUARDRAIL_FEASIBILITY,REESTRUCTURAR,MANTENER,desinversion,desinversion,20260222_132838,REESTRUCTURAR,"[step 1] EVA=-866,548,483€, RWA=6,106,588,854, EVA/RWA=-0.1419, RORWA_est≈-4.19% (hurdle=10.00%), HHI_seg=0.790, HHI_rat=0.194, EVA_vol≈12,501,379, n_active=500. Cartera claramente destructiva -> b...",,1.05,-32862072
